Wall time,Step,Value
1617808235,1385,1.528724842
1617808255,1388,1.341274939
1617808262,1389,0.980546791
1617808275,1391,1.006096788
1617808282,1392,1.462433487
1617808431,1414,1.09342197
1617808465,1419,1.435094792
1617808486,1422,1.028985064
1617808513,1426,1.661159471
1617808527,1428,0.455201045
1617808554,1432,2.102584764
1617808581,1436,0.60574743
1617808608,1440,0.773328962
1617808777,1465,0.864751916
1617808784,1466,0.893436093
1617808858,1477,0.677565578
1617808913,1485,1.656529494
1617808919,1486,2.33768262
1617808940,1489,0.874717254
1617808953,1491,1.964579523
1617809021,1501,0.872795749
1617809068,1508,1.375449449
1617809170,1523,2.373207919
1617809177,1524,1.236076839
1617809197,1527,2.045478858
1617809360,1551,0.955026504
1617809367,1552,0.984076131
1617809475,1568,0.85640708
1617809482,1569,1.8526664
1617809543,1578,1.209050324
1617809583,1584,0.717510562
1617809611,1588,1.010857429
1617809672,1597,0.964125432
1617809719,1604,2.225757949
1617809726,1605,1.302144304
1617809760,1610,0.881335884
1617809814,1618,0.830831472
1617809875,1627,1.295758598
1617809909,1632,1.262089144
1617809943,1637,0.810660701
1617809963,1640,1.043906063
1617809997,1645,1.966918074
1617810018,1648,1.700144261
1617810045,1652,1.802066341
1617810099,1660,1.222320367
1617810153,1668,1.853588037
1617810200,1675,0.751078269
1617810248,1682,0.996934995
1617810309,1691,0.868596323
1617810336,1695,1.100703143
1617810342,1696,1.301954407
1617810349,1697,0.735310791
1617810363,1699,1.070782822
1617810383,1702,1.166827697
1617810431,1709,1.144303475
1617810492,1718,2.584745362
1617810560,1728,1.050167996
1617810588,1732,0.910277292
1617810601,1734,2.537303045
1617810621,1737,1.804093085
1617810655,1742,1.670561917
1617810676,1745,1.178480685
1617810682,1746,2.21972689
1617810689,1747,0.843474921
1617810818,1766,0.878499355
1617810880,1775,0.685673999
1617810920,1781,1.860707812
1617810967,1788,1.346299797
1617810974,1789,1.182256639
1617811035,1798,1.10277757
1617811082,1805,1.279384736
1617811164,1817,0.780856842
1617811225,1826,1.927314326
1617811253,1830,1.88039653
1617811321,1840,2.404247597
1617811348,1844,1.899498701
1617811382,1849,0.889894553
1617811409,1853,1.245819591
1617811498,1866,2.277943492
1617811518,1869,0.934312306
1617811558,1875,0.89530386
1617811565,1876,1.999522187
1617811572,1877,1.55228423
1617811803,1911,2.435679734
1617811843,1917,0.457134983
1617811891,1924,1.109620836
1617811932,1930,1.74348373
1617811959,1934,1.511310507
1617811972,1936,0.997716747
1617811986,1938,2.474678867
1617812027,1944,1.66984871
1617812048,1947,1.774454117
1617812061,1949,1.15773268
1617812081,1952,0.795730297
1617812184,1967,1.482096501
1617812197,1969,1.718732528
1617812279,1981,1.237548143
1617812286,1982,1.764480211
1617812293,1983,1.235631108
1617812387,1997,2.24180501
1617812415,2001,1.115217432
1617812442,2005,0.800454896
1617812497,2013,2.31153816
1617812524,2017,1.633914746
1617812592,2027,1.048373338
1617812612,2030,1.746189781
1617812632,2033,1.719584502
1617812653,2036,2.409050986
1617812687,2041,0.663657533
1617812816,2060,1.329511683
1617812898,2072,0.863023195
1617812904,2073,1.701563038
1617812925,2076,1.582683064
1617812932,2077,1.745813899
1617812945,2079,1.105189882
1617812959,2081,2.975298092
1617812986,2085,1.391537674
1617813013,2089,1.604579948
1617813047,2094,2.148567699
1617813061,2096,1.16261486
1617813163,2111,2.151625603
1617813190,2115,2.124075405
1617813366,2141,1.191025786
1617813387,2144,1.643736102
1617813393,2145,1.120603364
1617813421,2149,1.073433645
1617813434,2151,2.547174133
1617813468,2156,1.710212417
1617813529,2165,1.745351776
1617813556,2169,0.897468068
1617813584,2173,1.209704764
1617813611,2177,1.378551498
1617813679,2187,2.399986051
1617813692,2189,1.616606861
1617813706,2191,1.46021666
1617813712,2192,0.609101215
1617813739,2196,1.341091096
1617813760,2199,2.0525584
1617813814,2207,1.621061377
1617813841,2211,0.834253337
1617813936,2225,1.275926083
1617813963,2229,0.83836969
1617813976,2231,1.078330353
1617814010,2236,1.875591278
1617814017,2237,0.759050855
1617814030,2239,1.50381811
1617814051,2242,1.500925794
1617814064,2244,0.950850733
1617814078,2246,1.425781101
1617814085,2247,1.552409027
1617814132,2254,2.487793565
1617814152,2257,1.364673395
1617814186,2262,1.845388487
1617814314,2281,2.838618308
1617814382,2291,0.890183728
1617814423,2297,2.140564844
1617814464,2303,0.921851024
1617814491,2307,0.868479069
1617814498,2308,2.779198438
1617814572,2319,1.389421057
1617814579,2320,0.726708397
1617814592,2322,1.709580421
1617814681,2335,2.7932873
1617814749,2345,0.916510448
1617814810,2354,1.217018627
1617814925,2371,2.536102757
1617815047,2389,1.6416125
1617815054,2390,1.432204153
1617815067,2392,0.896075927
1617815122,2400,0.956717134
1617815135,2402,0.769800553
1617815162,2406,1.279511862
1617815230,2416,0.914851669
1617815284,2424,2.51482781
1617815291,2425,1.795787923
1617815366,2436,1.944809407
1617815420,2444,0.89572845
1617815461,2450,1.706899703
1617815468,2451,0.873134099
1617815481,2453,0.872376002
1617815495,2455,1.408932731
1617815529,2460,0.920371618
1617815698,2485,1.734715886
1617815705,2486,1.524605229
1617815773,2496,1.780886389
1617815786,2498,0.92407465
1617815813,2502,1.289446466
1617815820,2503,1.641349681
1617815915,2517,1.753614098
